obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
16,8,229,occ,0,0.9486766656800001,0.2327550322753508,0.43244043133985044,0.2834812020220372,0.24534706153915442,0.4558354252656592,0.29881751315011135
17,9,229,occ,2,0.9195243317662504,0.2327550322753508,0.3614650061648139,0.3253042934930721,0.25312547393745183,0.39309999059024453,0.35377453565390454
18,10,229,occ,0,0.8654131467037511,0.2327550322753508,0.34445139619785564,0.28820671812497733,0.26895250339318877,0.39801960197834674,0.3330278945064795
19,11,229,occ,0,0.8505673518512527,0.2327550322753508,0.3136099889096601,0.30420233053138807,0.2736467979505226,0.36870682636370955,0.3576463755272222
20,12,229,occ,0,1.0579926502262489,0.2327550322753508,0.27529087537623365,0.549946742990161,0.21999683289442207,0.26020112268016554,0.519802044818134
21,3,231,occ,1,0.6529337274549992,0.2327550322753508,0.22857583595361705,0.19160285928501603,0.35647573787095027,0.35007509390663344,0.2934491683127542
22,4,231,occ,1,0.8230634194799977,0.2327550322753508,0.3349333583275365,0.2553750290736436,0.2827911273500684,0.4069350555503289,0.3102738173383853
23,5,231,occ,17,1.0077229421787472,0.2327550322753508,0.3408270910734647,0.4341408187074489,0.23097125463088378,0.3382150756006205,0.4308136696469516
24,6,231,occ,3,1.0560283004599997,0.2327550322753508,0.3805189477321515,0.4427543203480033,0.2204060555706358,0.3603302558903011,0.41926368844011297
25,7,231,occ,0,0.9445960266550002,0.2327550322753508,0.37891710844632576,0.3329238855863548,0.24640695673851395,0.40114196731077256,0.3524510755833936
26,8,231,occ,0,1.0211593585712497,0.2327550322753508,0.4025117399269425,0.38589258631572915,0.22793213451131555,0.39417132747048894,0.37789653796607114
27,9,231,occ,1,1.1140108380700033,0.2327550322753508,0.4043229754590118,0.47693282976591816,0.20893426196696005,0.36294348460692855,0.42812225291469574
28,10,231,occ,0,1.2538532312474984,0.2327550322753508,0.5315617056616071,0.48953649308327074,0.18563180001839244,0.4239425256596735,0.390425674140677
29,11,231,occ,0,1.1591165306900022,0.2327550322753508,0.5975185483249835,0.3288429497779263,0.20080382438924904,0.5154948035891533,0.28370137175265003
30,12,231,occ,0,1.1682212349687544,0.2327550322753508,0.5478362650304782,0.3876299378278686,0.1992388302046026,0.4689490728570182,0.33181209707957093
31,3,234,occ,0,0.6245306413187534,0.2327550322753508,0.09410819530368912,0.29766741379109923,0.3726879305455171,0.15068627394321452,0.47662579559354745
32,4,234,occ,0,0.5648722740687506,0.2327550322753508,0.13673890274302838,0.19537833913473077,0.4120489586058568,0.24207048039037918,0.3458805611531064
33,5,234,occ,17,0.8072137143562496,0.2327550322753508,0.14286173184392464,0.4315969504859872,0.2883437535014779,0.17698129913198568,0.5346749476750211
34,6,234,occ,0,0.7470855082737489,0.2327550322753508,0.15125398867993464,0.3630764874971055,0.3115507257170141,0.20245873732637282,0.48599053719573176
35,7,234,occ,0,0.5109009482523749,0.2327550322753508,0.1403632078792017,0.13778270806348997,0.45557760867645614,0.2747366360531104,0.26968575520323373
36,8,234,occ,0,0.4781692214811241,0.2327550322753508,0.13469857119366194,0.11071561796081125,0.48676289024708563,0.2816964479153103,0.23154066173031965
37,9,234,occ,0,0.4479345136562513,0.2327550322753508,0.12245291302766768,0.09272656837516839,0.5196184379173983,0.27337235532075804,0.20700920681081417
38,10,234,occ,0,0.36351422291650004,0.2327550322753508,0.10566839930753845,0.025090791315072834,0.6402914043030858,0.29068573564949807,0.06902285999641956
39,11,234,occ,0,0.3098514521236256,0.2327550322753508,0.07709641981910696,0,0.7511826414887525,0.24881735841711264,0
40,12,234,occ,0,0.28581832813812375,0.2327550322753508,0.053063295839363,0,0.8143460700773194,0.18565392984077558,0
41,3,235,occ,0,0.6439771069175001,0.2327550322753508,0.14535842139343946,0.2658636533428373,0.3614337059114883,0.22571985841114897,0.41284643582352853
42,4,235,occ,0,0.7396552481762473,0.2327550322753508,0.22064360574298703,0.2862566100146094,0.3146804309835563,0.2983060098431309,0.38701355897957385
43,5,235,occ,0,0.8909353744412515,0.2327550322753508,0.24717525384831812,0.41100508823723014,0.2612479411554656,0.2774334266425706,0.46131863211177493
44,6,235,occ,0,0.8870670466312497,0.2327550322753508,0.26758407260253647,0.3867279416807921,0.2623871928951343,0.30165033592299606,0.43596247110006037
45,7,235,occ,0,0.7735743688887513,0.2327550322753508,0.27960063461069207,0.2612187019916529,0.30088255458839225,0.3614398897579061,0.33767755563941015
46,8,235,occ,0,0.9100091892975002,0.2327550322753508,0.2857234636915352,0.3915306931183794,0.2557721779216655,0.31397865763543015,0.4302491642096816
47,9,235,occ,0,0.8837063739562508,0.2327550322753508,0.2857234636915352,0.3652278779401616,0.26338503278338204,0.32332398193801004,0.4132909852229296
48,10,235,occ,0,0.8773703098500029,0.2327550322753508,0.27733120685966145,0.3672840708575265,0.2652871081483748,0.31609367646264963,0.41861921555143367
49,11,235,occ,0,0.8497064767737504,0.2327550322753508,0.24626070337314565,0.3706907414753523,0.2739240415809211,0.2898185551182011,0.43625740371290045
50,12,235,occ,0,0.8208331293762494,0.2327550322753508,0.22245667568689942,0.3656214215080044,0.28355950064079555,0.2710132762988552,0.44542722317487343
51,3,243,occ,0,0.8013843936475022,0.2327550322753508,0.4108984936258502,0.15773086796912034,0.29044118418124654,0.5127358317469162,0.1968229843498799
52,4,243,occ,0,1.1094206880924995,0.2327550322753508,0.6190728481527926,0.2575928079532334,0.20979871276381365,0.5580145158616121,0.23218677163496004
53,5,243,occ,3,1.3167150863187584,0.2327550322753508,0.671907047878353,0.41205300533906086,0.17676947328528142,0.5102903846547814,0.31294014143262316
54,6,243,occ,0,1.2821149522500035,0.2327550322753508,0.6936707439980536,0.3556891762651575,0.18153990940272974,0.5410363109647228,0.27742377985761185
55,7,243,occ,0,1.2268904049475036,0.2327550322753508,0.7168071834195869,0.27732818901343986,0.18971134775914233,0.584247118185147,0.2260415338608066
